month,ppt_total_mean,ppt_total_std,ppt_total_min,ppt_total_max,ppt_total_count,tmean_mean_mean,tmean_mean_std,tmean_mean_min,tmean_mean_max,tmean_mean_count,tmin_mean_mean,tmin_mean_std,tmin_mean_min,tmin_mean_max,tmin_mean_count,tmax_mean_mean,tmax_mean_std,tmax_mean_min,tmax_mean_max,tmax_mean_count,tdmean_mean_mean,tdmean_mean_std,tdmean_mean_min,tdmean_mean_max,tdmean_mean_count,vpdmin_mean_mean,vpdmin_mean_std,vpdmin_mean_min,vpdmin_mean_max,vpdmin_mean_count,vpdmax_mean_mean,vpdmax_mean_std,vpdmax_mean_min,vpdmax_mean_max,vpdmax_mean_count,days_below_freezing_mean,days_below_freezing_std,days_below_freezing_min,days_below_freezing_max,days_below_freezing_count,freeze_thaw_days_mean,freeze_thaw_days_std,freeze_thaw_days_min,freeze_thaw_days_max,freeze_thaw_days_count,days_precip_gt_10mm_mean,days_precip_gt_10mm_std,days_precip_gt_10mm_min,days_precip_gt_10mm_max,days_precip_gt_10mm_count,heating_degree_days_mean,heating_degree_days_std,heating_degree_days_min,heating_degree_days_max,heating_degree_days_count,cooling_degree_days_mean,cooling_degree_days_std,cooling_degree_days_min,cooling_degree_days_max,cooling_degree_days_count,mean_temp_c_mean,mean_temp_c_std,mean_temp_c_min,mean_temp_c_max,mean_temp_c_count,tmean_variance_c2_mean,tmean_variance_c2_std,tmean_variance_c2_min,tmean_variance_c2_max,tmean_variance_c2_count
1,77.97609213895186,68.65464705198491,0.1292200437925906,908.5947201737282,6216,2.1805691080134526,5.945980006815379,-13.392206686959266,21.049086929585037,6216,-2.7015093281266327,5.513861692272058,-18.213967202154706,16.960457506802523,6216,7.063052799456707,6.5702696935703315,-9.027427488466843,25.884576663178528,6216,-2.131976712227942,5.4481042080719435,-15.84583005254009,16.22616269750658,6216,0.4878364082982157,0.30140382820919115,0.0766477807464091,3.713821311753165,6216,5.210063012699896,3.1814399971391176,0.6504974384003142,19.14951925178951,6216,21.591216216216218,9.818155809133513,0,31,6216,15.976994851994853,7.761755263659261,0,31,6216,2.390926640926641,2.4287778631847776,0,26,6216,502.06708752625946,181.65779040788362,8.633675170821082,983.4917406290706,6216,1.3313965413432014,5.664848019606809,0.0,98.46693110212978,6216,2.1805691080134526,5.945980006815378,-13.392206686959268,21.049086929585037,6216,17.416484835145102,9.93342907063125,2.78400849019513,105.13711983101096,6216
2,84.42280368526733,76.17312444877754,0.0,451.0716955535722,6216,0.8962073478593099,7.27183512203802,-18.956128301610708,23.387112516830257,6216,-4.60195242788947,7.160677696353026,-25.040311727840923,19.804314392606905,6216,6.390865661211205,7.517914467461554,-13.218669080828036,27.843816645278363,6216,-3.82475709771442,6.985604561824442,-21.303369650659757,19.64404507580093,6216,0.5039594022859468,0.3802482711890769,0.0889135883991,5.218537269954006,6216,5.7880167610461895,3.3244733085663034,0.8291975687088005,23.491131506350733,6216,20.014478764478763,8.671521498697023,0,29,6216,12.827380952380953,6.110800216494232,0,28,6216,2.5805984555984556,2.6320513513168153,0,16,6216,498.05971961133986,200.96446416041422,9.2860840041872,1044.1049257784332,6216,2.005644335952519,9.122035305414203,0.0,150.79190114210112,6216,0.8962073478593099,7.27183512203802,-18.956128301610708,23.387112516830257,6216,37.82510033160451,27.33484321396225,0.8647028818389221,142.39583382726758,6216
3,95.26922979420392,62.41303096780272,0.0,341.9222835743804,6216,8.834251392486797,5.7691164934547485,-5.603899858585143,24.542261259142673,6216,2.726267465866931,5.839815579954275,-12.892129454096906,20.16257912273412,6216,14.928623785767728,5.873048627163866,-0.0041773134622379,31.10507572362405,6216,2.460343486437917,6.224088790044222,-14.004037098440577,18.502226545144737,6216,0.8281410556468737,0.44320523494563074,0.1563668245979691,5.708143411347864,6216,10.471750790647105,4.0525890995068625,1.7540202092035695,29.79098686356997,6216,12.112290862290862,10.469982538135067,0,31,6216,11.456563706563706,9.644562302737603,0,31,6216,3.1184041184041185,2.324269608848892,0,12,6216,305.0783407011519,162.604918603028,0.0,742.0542289494728,6216,10.606800534909311,24.01993358218726,0.0,197.22542392355845,6216,8.834251392486797,5.7691164934547485,-5.603899858585143,24.54226125914267,6216,18.367519828565104,7.174856262201783,1.5858387101148117,67.46340856485412,6216
4,84.80013100867657,60.29929428927467,0.0,388.4307251514955,6216,11.53917005662848,4.773087787389806,-1.069201729261832,26.908080021049273,6216,4.922867847268032,4.887099909054238,-8.01387664211609,22.93730444344353,6216,18.117836189942857,4.872009629956733,5.051044538247343,31.76850873180343,6216,3.7510752551390563,5.667422546150628,-13.80025603193389,21.125499097069643,6216,1.111318009988092,0.7540425137028625,0.1449861157013892,10.702104790084515,6216,14.010125889487812,4.395910660818612,4.595836629186015,42.12032170051928,6216,7.066602316602316,7.341770713316165,0,30,6216,6.745978120978121,6.828220974888152,0,29,6216,2.518018018018018,1.9328211463001945,0,10,6216,217.6861030202639,125.11092381770423,0.0,582.0760518778549,6216,13.861204719118286,26.163519218754654,0.0,257.2424006314782,6216,11.53917005662848,4.773087787389805,-1.069201729261832,26.908080021049273,6216,22.66217371774537,10.842306344022449,2.297470872365013,67.92123127575086,6216
5,104.3831873854084,63.439905879316015,0.0,530.6702341470033,6216,16.623988377769106,4.023367569823751,3.7276057181021978,27.9341101738684,6216,10.547069649728066,4.2778146488935,-2.612368860525022,22.94243379802219,6216,22.671775915849153,4.020554047860131,10.209065013797945,36.611670659246435,6216,9.503871225934372,5.38778385905929,-9.62585543382485,22.4580578251575,6216,1.2876196343853998,1.1484339075440941,0.1803197151338778,14.879123511640314,6216,16.476055179712734,5.4133420284068565,6.549255154214183,57.55971985788699,6216,1.5408622908622909,3.1755203291619027,0,28,6216,1.5378056628056629,3.1632217674387744,0,28,6216,3.3508687258687258,2.2512267258853256,0,13,6216,105.78255313532972,80.57581827397259,0.0,452.7775560721652,6216,52.792859512838675,51.29813914266195,0.0,297.6240820565872,6216,16.623988377769106,4.02336756982375,3.7276057181021978,27.9341101738684,6216,20.717005517070493,9.811571995847329,0.9750618630320173,53.869481815247774,6216
6,107.75518364831277,65.04534478819077,0.0,489.6626336886409,6216,22.83688048036481,3.232552155343615,8.813421149866837,32.50928140727866,6216,16.753206127437764,3.8573750615200506,1.988906621981006,25.799591870101448,6216,28.92080079523522,2.9903488805335363,15.094891668752764,40.714902865828854,6216,15.461204984932536,5.436493426895015,-5.488199007396288,24.43203355493601,6216,1.959669320320256,1.840216494309202,0.0675847303705171,21.295060982123083,6216,22.90736301739749,6.911236981575673,6.356236940952052,70.81786678685582,6216,0.05936293436293436,0.44470516455529585,0,10,6216,0.05936293436293436,0.44470516455529585,0,10,6216,3.46509009009009,2.2814239724001877,0,13,6216,15.102715938583714,33.06051685555069,0.0,285.59736550399487,6216,150.2091303495281,71.84585645107754,0.0,425.27844221835977,6216,22.83688048036481,3.232552155343615,8.813421149866837,32.50928140727866,6216,9.059734367896283,5.815295286722464,0.5302864208187514,52.15131195898575,6216
7,114.11090507146531,65.32837017565015,0.0,484.9120525940755,6216,24.63447239710491,2.9442429676401365,11.957705807012807,34.733628622685515,6216,18.684014453532313,3.5818693085369637,4.2186579826737685,28.40107010530425,6216,30.585051325200414,2.7532367608545423,17.388067324207707,42.87491255986604,6216,18.14799182176077,5.0500354966625025,-4.151901749689305,25.39587524198384,6216,1.6712557829755903,2.0165336295708536,0.0047851714580819,23.01460053216409,6216,23.53071088117364,7.718456134013115,4.373081833188308,75.27810337423925,6216,0.00048262548262548264,0.02196520368072327,0,1,6216,0.00048262548262548264,0.02196520368072327,0,1,6216,3.7245817245817245,2.5202154166213684,0,15,6216,3.720259417602041,14.187106314922417,0.0,197.64445331593623,6216,199.05557039452103,83.21873969817759,0.0,508.4091539699178,6216,24.63447239710491,2.9442429676401365,11.957705807012807,34.733628622685515,6216,4.040654165697499,2.5829614973092863,0.3556140389520319,19.785108261018635,6216
8,110.58382837226608,76.75214150326467,0.0,516.9605701252466,6216,24.031720442621175,3.107294061085285,11.054998690632043,35.75304592802812,6216,17.95135966509348,3.798969437236297,3.6831614830557102,27.909091224709695,6216,30.112201865033747,2.884475561359853,18.018115805677287,43.597101197810304,6216,17.3996670288068,5.407136938287308,-3.2027265368798776,24.987102289125612,6216,1.7174330261360584,2.0692780675041758,0.0092019156412599,22.07095702820131,6216,23.150889075307198,8.132145940772775,6.240007085707999,76.64623446224918,6216,0.0016087516087516086,0.04008019411634955,0,1,6216,0.0016087516087516086,0.04008019411634955,0,1,6216,3.447876447876448,2.5217034419720625,0,15,6216,6.157516509752615,17.719198646191266,0.0,225.62837392373987,6216,182.80751689767587,85.4935149601285,0.0,540.0110904355386,6216,24.031720442621175,3.107294061085285,11.054998690632043,35.75304592802812,6216,5.5489005574083174,3.7468197116186834,0.22737460805157,29.60803105795165,6216
9,85.80676006305679,62.85510801662858,0.0,483.86146587178246,6216,19.7943828694823,3.6366277463038994,7.570784987189879,31.21681095961199,6216,13.349240364750246,4.2787041860377,-0.7268139510195546,26.122632491870345,6216,26.239646096676303,3.4324458362646784,15.343564949683572,39.93166603338437,6216,13.10860477399798,5.6909822747135275,-7.562599362857176,24.425395339700135,6216,1.3956710648898978,1.5254836398469387,0.0475786077843703,17.84061973832501,6216,19.40221013345336,6.710510202842923,6.0717144173108215,65.44309648197171,6216,0.3124195624195624,1.1696951910084343,0,16,6216,0.3108108108108108,1.1612899251208593,0,16,6216,2.5530888030888033,1.8792374780187102,0,12,6216,42.55357262728893,47.36853299433944,0.0,322.8764503843036,6216,86.38505871175789,69.09312434781867,0.0,386.5043287883599,6216,19.7943828694823,3.6366277463038994,7.570784987189879,31.21681095961199,6216,12.699717033108259,5.532184341421815,0.3895064145597703,39.03472327189987,6216
10,90.90653851236486,56.87595236764379,0.0,446.8345093731329,6216,14.05518053353555,5.063830948557732,0.7177180644637924,28.031606454226832,6216,7.929038350550732,5.256516895657665,-5.534512387636232,25.30035733312226,6216,20.181435171067577,5.1693871058557646,5.676412292698426,34.47237621235435,6216,8.149573099392617,6.387353620119931,-12.304445762828545,24.023847581085516,6216,0.9497157543340837,1.0689558334811076,0.0396385519876261,13.122742891468071,6216,13.642928028280963,5.448071611860455,3.860068604750369,51.18008337165927,6216,3.8743564993564994,5.981506393298003,0,31,6216,3.436936936936937,5.134103151440838,0,29,6216,2.820945945945946,1.977333863976431,0,13,6216,164.65623094978224,123.86487303530339,0.0,546.0840733349557,6216,32.03349415605098,44.54639217226397,0.0,300.64646674769847,6216,14.05518053353555,5.063830948557732,0.7177180644637924,28.03160645422683,6216,24.004208562697183,15.412014098379574,0.7858169003008136,88.8989800301633,6216
