# County FIPS/geoid changes, CONUS + DC, 1981-2025.
#
# VERIFIED 9/3/26 against the Census Bureau's official "Substantial Changes to
# Counties and County Equivalent Entities" decade pages, read directly
# (census.gov/programs-surveys/geography/technical-documentation/county-changes.<decade>.html
# for 1980, 1990, 2000, 2010, 2020), cross-checked against David Dorn's
# "FIPS County Code Changes" (May 2007, rev. Sept 2021,
# https://ddorn.net/data/FIPS_County_Code_Changes.pdf -- the reference Eyal
# pointed to on 9/1/26).
#
# SUPERSEDES the 8/31/26 draft of this file, which was compiled via automated
# page fetches rather than a direct read. That method missed 2 of the 10 rows
# below (a 20% miss rate) and left 2 parent FIPS codes unverified -- both
# issues are resolved here. The `source` column records, per row, which
# reference confirms it.
#
# DIRECTION: new_geoid is always the TIGER/2018 code -- the weather panel's
# county universe and this project's merge key. Dorn harmonizes the OTHER way
# (modern codes back onto 1980-era codes, because his target is 1990 commuting
# zones). We take his change list, not his direction. See
# population_utils.apply_fips_crosswalk's module docstring.
#
# EXCLUDED, deliberately:
#  - Alaska (project is CONUS + DC only, see gee_extract_utils.CONUS_STATE_FIPS).
#    For the record, AK is the ONLY place with changes in 2016-2025 apart from
#    CT: Valdez-Cordova Census Area 02261 split into Chugach 02063 and Copper
#    River 02066, effective 2019-01-02; Wade Hampton -> Kusilvak 02270 -> 02158,
#    2015-07-01; Petersburg Borough 02195 created 2013-01-03.
#  - Puerto Rico and other territories.
#  - Connecticut's 2022 planning-region change. Planning regions do NOT nest
#    into the legacy 8 counties, so it is not a rename/merger/split
#    relationship and cannot be expressed as a row here. Handled instead by
#    08b_population_ct_towns.py, which goes down to the 169 towns -- the
#    common building block of both schemes -- and re-aggregates up to the
#    legacy counties.
#  - Small boundary shifts where BOTH old and new geoid exist before and after
#    (no FIPS code created or destroyed): several VA independent-city/county
#    annexations of a few hundred people (1980s-2007), and Maryland's 1997
#    Takoma Park transfer from Prince George's 24033 to Montgomery 24031
#    (~5,156 people). None change which geoids exist in the panel, and the
#    populations are immaterial next to a collision-rate denominator. Decided
#    NOT to build apportionment logic for this category.
#
# COMPLETENESS: Census's 2010s page lists no CONUS change after 2015, and its
# 2020s page lists only Connecticut. So Dorn's coverage ending at 2015 leaves
# no gap for this project, and this list is exhaustive for CONUS + DC,
# 1981-2025.
#
# change_type values:
#   rename       - same geography, FIPS code changed. Relabel only.
#   merger       - old_geoid's population folds entirely into new_geoid, which
#                  continues to exist. Relabel + sum, ALL years (see
#                  population_utils.apply_fips_crosswalk note 2 -- summing only
#                  post-change years would undercount the survivor).
#   split        - new_geoid created from PART of one or more parent counties.
#                  old_geoid is blank by design: there is no single valid
#                  source. Parent FIPS codes appear in `notes` in parentheses,
#                  which is where _parse_parent_geoids reads them from -- keep
#                  that convention if editing. No apportionment; flag only.
#   merge_split  - old_geoid dissolves into MULTIPLE targets (semicolon-
#                  separated in new_geoid). Not a clean 1:1 crosswalk; flag,
#                  never auto-apportion.
#
old_geoid,new_geoid,change_type,effective_year,source,notes
,35006,split,1981,census_1980s,"Cibola County NM created from part of Valencia County (35061) effective 1981-06-19. Census 1980s page, verbatim; 1980 population of the created county was 30347. Parent FIPS confirmed 9/3/26 -- was flagged unverified in the 8/31 draft. Predates all outcome data."
,04012,split,1983,census_1980s,"La Paz County AZ created from part of Yuma County (04027) effective 1983-01-01. Census 1980s page, verbatim; 1980 population of the created county was 12557. Parent FIPS confirmed 9/3/26 -- was flagged unverified in the 8/31 draft. Predates all outcome data."
46131,46071,merger,1983,dorn_only,"Washabaugh County SD merged into Jackson County SD, 1983. PROVENANCE ASYMMETRY: Dorn documents this; the Census substantial-changes page for the 1980s does NOT list it, most likely because it fell under the 200-person / 10-sq-mi threshold for 'substantial'. Kept because it is a plain merger and harmless, but do not describe it as Census-confirmed. Predates all outcome data."
51780,51083,merger,1995,census_1990s,"South Boston independent city VA reverted to town status and merged into Halifax County, effective 1995-06-30. MISSING from the 8/31 draft; caught by Dorn and then confirmed against the Census 1990s page. Matters most of the 10: it lands at the start of the good-collision-data window Eyal identified (mid-90s/early-2000s)."
12025,12086,rename,1997,census_1990s,"Dade County FL renamed Miami-Dade County, same geography, new FIPS code, effective 1997-07-22."
30113,30031;30067,merge_split,1997,census_1990s,"Yellowstone National Park (Montana portion) deleted and divided between Gallatin County and Park County, effective 1997-11-07. A park administrative unit rather than a residential county, so population is expected to be near zero -- apply_fips_crosswalk logs the magnitude actually dropped rather than assuming it."
51560,51005,merger,2001,census_2000s,"Clifton Forge independent city VA reverted to town status and merged into Alleghany County, effective 2001-07-01."
,08014,split,2001,census_2000s,"Broomfield County CO created from parts of Adams (08001), Boulder (08013), Jefferson (08059) and Weld (08123) counties, effective 2001-11-15. The ONLY split inside the analysis window. Pre-2001 the area had no separate population AND no separate collisions -- crashes were filed under the four parents -- so a back-apportioned denominator would produce a fake near-zero collision rate for two decades. Left NaN and flagged."
51515,51019,merger,2013,census_2010s,"Bedford independent city VA changed to town status and merged into Bedford County, effective 2013-07-01."
46113,46102,rename,2015,census_2010s,"Shannon County SD renamed Oglala Lakota County, same geography, new FIPS code, effective 2015-05-01."
