geoid,state_fips,county_fips,county_name,date,year,dataset_type,ppt,tmean,tmin,tmax
17121,17,121,Marion,2021-01-01,2021,AN91,4.475195194772941,2.322243385781687,-0.15990123438048937,4.817949501189813
17005,17,005,Bond,2021-01-01,2021,AN91,4.310170226066763,0.7439550102017813,-0.33001179881734677,1.9270149742942202
17083,17,083,Jersey,2021-01-01,2021,AN91,10.377910513981037,-0.11657011489328921,-0.8423372531460417,0.6280786860060857
17163,17,163,St. Clair,2021-01-01,2021,AN91,4.48536239753416,0.7568117155009072,-0.12754731308988476,1.6578336431735996
17027,17,027,Clinton,2021-01-01,2021,AN91,3.718270598246814,1.2663750614659723,-0.29564568136456343,2.7097393170796753
17013,17,013,Calhoun,2021-01-01,2021,AN91,13.385372061674758,-0.5986936254215425,-1.9333300099615183,0.6876598484325783
17119,17,119,Madison,2021-01-01,2021,AN91,6.270175358311942,0.5877850076623434,-0.14418101196665056,1.3044268651168407
17133,17,133,Monroe,2021-01-01,2021,AN91,3.362302683623084,0.6221521983013124,-0.2902914314566205,1.5388823900015725
17117,17,117,Macoupin,2021-01-01,2021,AN91,7.252748208750766,-0.3307461547367212,-0.9312627062513662,0.35420085171588317
17171,17,171,Scott,2021-01-01,2021,AN91,8.759679606432423,-1.371140643496322,-2.8909346960584794,0.10571857733898588
17137,17,137,Morgan,2021-01-01,2021,AN91,10.071090852088899,-1.1451740282944314,-2.332649232965678,0.09524508710547333
17107,17,107,Logan,2021-01-01,2021,AN91,15.115809040111698,-0.6073272125581209,-1.6594338786288498,0.4219317396094918
17129,17,129,Menard,2021-01-01,2021,AN91,11.744938232652983,-0.9237841306897622,-2.085415655088463,0.18164209215121419
17167,17,167,Sangamon,2021-01-01,2021,AN91,10.686180153905712,-0.5374021684953805,-1.4493739003385187,0.36341341811976663
17021,17,021,Christian,2021-01-01,2021,AN91,10.388718734381325,-0.09581938516673831,-0.8642499269521882,0.6528539485835523
17127,17,127,Massac,2021-01-01,2021,AN91,3.947331848728373,7.086986421844936,1.8967791581801436,12.213148333744185
17057,17,057,Fulton,2021-01-01,2021,AN91,11.149996542984118,-2.3127383235946506,-4.727034492283958,0.195617760370527
17175,17,175,Stark,2021-01-01,2021,AN91,12.118432270991212,-3.455656937325954,-6.8254853213484195,0.25571595355363863
17203,17,203,Woodford,2021-01-01,2021,AN91,17.906885072367324,-1.6529906089018869,-3.2829390548034403,0.4282196097953852
17179,17,179,Tazewell,2021-01-01,2021,AN91,18.82744337602472,-1.105974115234505,-2.595733477831172,0.3900088178289936
17123,17,123,Marshall,2021-01-01,2021,AN91,13.515466518559617,-2.2140364724714297,-4.420084866718639,0.19030223196598187
17143,17,143,Peoria,2021-01-01,2021,AN91,14.736951110901868,-2.264916683649934,-4.722116251103098,0.48040806075607434
17001,17,001,Adams,2021-01-01,2021,AN91,10.477027339635855,-2.5176779881719287,-4.925337908480628,-0.07455858058867047
17177,17,177,Stephenson,2021-01-01,2021,AN91,10.403305994839595,-4.721725565742045,-8.204470070599234,-1.3123734233800106
17141,17,141,Ogle,2021-01-01,2021,AN91,13.44719661563607,-3.4973378575327136,-7.047016234233463,0.039072698686381364
17201,17,201,Winnebago,2021-01-01,2021,AN91,13.918942846325308,-3.881802901231349,-7.542237390284085,-7.124699463116093E-4
17007,17,007,Boone,2021-01-01,2021,AN91,14.062250089798969,-3.670640669832553,-7.373876752964941,0.05339379626219731
17025,17,025,Clay,2021-01-01,2021,AN91,6.343408742970117,2.876993578945459,-0.29839216408309777,6.0798768085353565
17185,17,185,Wabash,2021-01-01,2021,AN91,4.8476044348784235,4.284121704037036,0.08206213366671473,8.405516324357292
17009,17,009,Brown,2021-01-01,2021,AN91,9.547258478560275,-2.0719106211629117,-4.237459343163602,0.03595955350203928
17151,17,151,Pope,2021-01-01,2021,AN91,5.1451543620636855,6.160177121056892,1.0320754449871234,11.046477835471864
17033,17,033,Crawford,2021-01-01,2021,AN91,10.4198699304602,2.8414853733676195,-0.5466192465643129,6.192805430922005
17135,17,135,Montgomery,2021-01-01,2021,AN91,6.2709837173416005,-0.022742306600742793,-0.7054941444181461,0.7804541320233414
17055,17,055,Franklin,2021-01-01,2021,AN91,1.8773813817622624,3.9154221174651376,0.15562207194782665,7.714235513450699
17023,17,023,Clark,2021-01-01,2021,AN91,10.516147668608955,2.2336848921185344,-0.3011476221977744,4.867178469225866
17059,17,059,Gallatin,2021-01-01,2021,AN91,4.728916753118898,5.951987756195284,0.6442895573372455,10.650864579922501
17075,17,075,Iroquois,2021-01-01,2021,AN91,19.874828398338032,-0.7700279120150456,-2.1510103640024125,0.8204189392689684
17041,17,041,Douglas,2021-01-01,2021,AN91,11.035281858911722,0.4846964981549113,-0.6491521361642981,1.765799795270307
17189,17,189,Washington,2021-01-01,2021,AN91,2.5882201550160726,1.8235547416213838,-0.05674023883565102,3.717330458743022
17159,17,159,Richland,2021-01-01,2021,AN91,7.551226261402918,3.2612175160627683,-0.2533727366452837,6.725234428080427
17065,17,065,Hamilton,2021-01-01,2021,AN91,3.7249185918206553,3.8656882041909184,-0.013286991295413367,7.791420481826742
17193,17,193,White,2021-01-01,2021,AN91,4.380373567402097,4.362918826201707,0.053883696234266816,8.627998142346623
17169,17,169,Schuyler,2021-01-01,2021,AN91,8.931067440661336,-2.3475711588958252,-4.8142813093331664,0.05119192510588592
17181,17,181,Union,2021-01-01,2021,AN91,1.8689100601050692,4.972478635223038,1.050179859135677,9.146014993182913
17085,17,085,Jo Daviess,2021-01-01,2021,AN91,6.727188585295103,-5.155608097364803,-8.315183704290762,-1.987115991068113
17125,17,125,Mason,2021-01-01,2021,AN91,13.975122212712177,-1.32676772457905,-3.1202986701567728,0.2026557515989768
17191,17,191,Wayne,2021-01-01,2021,AN91,8.019941857858704,3.482560470132682,-0.09673880713772606,7.050813197666033
17069,17,069,Hardin,2021-01-01,2021,AN91,3.5807049591258995,6.478925564761847,0.8083990133310349,11.972203190078412
17061,17,061,Greene,2021-01-01,2021,AN91,9.457317511342877,-0.9388771428281877,-2.0010523765137296,0.232668840592296
17157,17,157,Randolph,2021-01-01,2021,AN91,1.450281440647966,1.4559243617276731,-0.023737973759765118,3.011890160381976
17149,17,149,Pike,2021-01-01,2021,AN91,9.378729609925015,-1.6040689249641729,-3.3142703187205558,0.06514190282044412
17145,17,145,Perry,2021-01-01,2021,AN91,2.040545027162086,2.790777666500223,0.2538575925561109,5.265583499030567
