state_fips,state,n_counties,mean,sd,min,median,max
01,01 — Alabama,0,,,,,
04,04 — Arizona,0,,,,,
05,05 — Arkansas,0,,,,,
06,06 — California,0,,,,,
08,08 — Colorado,0,,,,,
09,09 — Connecticut,0,,,,,
10,10 — Delaware,0,,,,,
11,11 — District of Columbia,0,,,,,
12,12 — Florida,0,,,,,
13,13 — Georgia,0,,,,,
16,16 — Idaho,0,,,,,
17,17 — Illinois,0,,,,,
18,18 — Indiana,0,,,,,
19,19 — Iowa,0,,,,,
20,20 — Kansas,0,,,,,
21,21 — Kentucky,0,,,,,
22,22 — Louisiana,0,,,,,
23,23 — Maine,0,,,,,
24,24 — Maryland,0,,,,,
25,25 — Massachusetts,0,,,,,
26,26 — Michigan,0,,,,,
27,27 — Minnesota,0,,,,,
28,28 — Mississippi,0,,,,,
29,29 — Missouri,0,,,,,
30,30 — Montana,0,,,,,
31,31 — Nebraska,0,,,,,
32,32 — Nevada,0,,,,,
33,33 — New Hampshire,0,,,,,
34,34 — New Jersey,0,,,,,
35,35 — New Mexico,0,,,,,
36,36 — New York,0,,,,,
37,37 — North Carolina,0,,,,,
38,38 — North Dakota,0,,,,,
39,39 — Ohio,0,,,,,
40,40 — Oklahoma,0,,,,,
41,41 — Oregon,0,,,,,
42,42 — Pennsylvania,0,,,,,
44,44 — Rhode Island,0,,,,,
45,45 — South Carolina,0,,,,,
46,46 — South Dakota,0,,,,,
47,47 — Tennessee,0,,,,,
48,48 — Texas,0,,,,,
49,49 — Utah,0,,,,,
50,50 — Vermont,0,,,,,
51,51 — Virginia,0,,,,,
53,53 — Washington,0,,,,,
54,54 — West Virginia,0,,,,,
55,55 — Wisconsin,0,,,,,
56,56 — Wyoming,0,,,,,
