variable,unit,n,mean,sd,min,p01,p05,median,p95,p99,max
ppt_total,mm,74592,90.07912811241111,66.63103593900573,0.0,0.6305642556668186,6.433269857618972,79.24420390402855,211.18113077450252,296.15122720551636,908.5947201737282
tmean_mean,,74592,13.143236060827531,9.539658497727256,-18.956128301610708,-9.374891809486217,-3.3121210553626783,13.825254227661194,26.679200043593134,28.43920454157177,35.75304592802812
tmin_mean,,74592,7.142399770930298,9.411819738317073,-25.040311727840923,-14.84970782017922,-8.513986063635011,7.333552669848599,21.300877174832756,23.306087356897873,28.40107010530425
tmax_mean,,74592,19.137182746769927,9.832923926167428,-13.218669080828036,-4.150231620884856,1.293550067780098,20.21650793528252,32.380379716781974,34.52346509067183,43.597101197810304
tdmean_mean,,74592,6.91354893346278,9.4749136377406,-21.303369650659757,-13.236512732883583,-8.276994264929428,6.649625731528299,21.362082720414808,23.319046758361395,25.39587524198384
vpdmin_mean,,74592,1.1119558823033553,1.3178153569651878,0.0047851714580819,0.1668976395767019,0.2532110684042274,0.7600815654135282,3.1950799653642927,7.05592676188491,23.01460053216409
vpdmax_mean,,74592,14.312820454098365,8.534654980499733,0.6504974384003142,1.5385507338802566,2.8290618915051997,13.314366135734005,30.14251057986951,41.72080323642669,76.64623446224918
days_below_freezing,,74592,8.234435328185327,10.686602610017143,0.0,0.0,0.0,1.0,30.0,31.0,31.0
freeze_thaw_days,days,74592,6.643956456456457,8.445636081843917,0.0,0.0,0.0,1.0,23.0,28.0,31.0
days_precip_gt_10mm,,74592,2.8278635778635777,2.3238891447727883,0.0,0.0,0.0,3.0,7.0,9.0,26.0
heating_degree_days,degree-days,74592,217.90805460835608,223.79837668503285,0.0,0.0,0.0,150.0235632251713,652.4829138464954,813.1366966059857,1044.1049257784332
cooling_degree_days,degree-days,74592,61.648055091743835,87.6594701908629,0.0,0.0,0.0,10.564502942161356,256.269040662371,312.3589535272446,540.0110904355386
mean_temp_c,°C,74592,13.143236060827531,9.539658497727256,-18.956128301610708,-9.374891809486217,-3.3121210553626783,13.825254227661194,26.679200043593134,28.43920454157177,35.75304592802812
tmean_variance_c2,,74592,17.956982256299522,14.674628599153019,0.22737460805157,1.0983691691761857,2.366910927470592,15.418331348062878,41.18461229332256,84.95714380991316,142.39583382726758
