metric,value
dataset,PRISM
monthly_rows,74592
derived_rows,74592
merged_rows,74592
counties,3108
first_year,2020
last_year,2021
duplicate_monthly_keys,0
duplicate_derived_keys,0
monthly_only_rows,0
derived_only_rows,0
incomplete_months,0
qa_mismatch_n_days,0
qa_mismatch_expected_days,0
qa_mismatch_is_incomplete,0
qa_mismatch_dataset_types,0
candidate_county_winters,9324
complete_county_winters,3108
excluded_incomplete_county_winters,6216
first_complete_winter,2021
last_complete_winter,2021
expected_calendar_years,1981–2025
observed_calendar_years,2020–2021
observed_complete_winters,2021–2021
